RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,28/02/2021,31/03/2021,30/04/2021,31/05/2021,30/06/2021,31/07/2021,31/08/2021,30/09/2021,31/10/2021,30/11/2021,31/12/2021,31/01/2022,28/02/2022
21318,5566,Wilmer,City,AL,AL,Mobile,Mobile County,158267,159899,161869,165386,168986,172821,175507,177198,179181,180790,183030,184507,186704
26926,5642,Salem,City,AL,AL,Auburn-Opelika,Lee County,207101,209913,212305,213782,215891,217620,220410,222947,221809,219823,221229,227619,234208
4263,5698,Crossville,City,AL,AL,Fort Payne,De Kalb County,107044,109628,111369,113235,113673,113783,113572,114067,114600,114857,116931,119287,122251
42454,5722,Gurley,City,AL,AL,Huntsville,Madison County,250098,253977,258315,264525,270163,275726,281073,287355,294669,301002,308190,315787,324059
32219,5811,Jemison,City,AL,AL,Birmingham-Hoover,Chilton County,137674,140091,141485,142906,144989,146864,148849,149843,150561,150886,153646,156746,160133
54046,5832,Rainbow City,City,AL,AL,Gadsden,Etowah County,153779,157729,160961,164993,167940,171563,175281,178625,181704,183783,188447,192507,197759
106626,5860,Saks,City,AL,AL,Anniston-Oxford-Jacksonville,Calhoun County,99237,103072,106516,107704,108808,110461,112153,113446,114543,115438,116499,117870,121182
24557,5920,Elba,City,AL,AL,Enterprise,Coffee County,91310,92975,94214,94576,94982,95976,97849,99800,101333,102476,103495,104806,106787
51688,5978,Demopolis,City,AL,AL,,Marengo County,125282,127139,128235,129032,130299,131432,132432,133267,134103,134960,137331,138845,141148
43800,5992,Elberta,City,AL,AL,Daphne-Fairhope-Foley,Baldwin County,240441,243166,247559,251706,258584,263414,268148,274022,280274,287083,292273,299014,305951
47656,6071,Sheffield,City,AL,AL,Florence-Muscle Shoals,Colbert County,72799,73910,74807,75508,75849,75975,76260,76821,77328,77500,78927,80285,82367
10191,6143,Ashville,City,AL,AL,Birmingham-Hoover,Saint Clair County,243235,243666,245226,246574,249356,252564,256078,261428,265948,269766,271135,270635,270345
43344,6208,Fultondale,City,AL,AL,Birmingham-Hoover,Jefferson County,170143,172105,173301,176170,179259,183921,187124,190172,192565,195916,200194,203932,208016
