Region,RegionName,StateName,ForecastedDate,ForecastYoYPctChange
Zip,72136,AR,28/02/2023,16.8
Zip,72137,AR,28/02/2023,15
Zip,72139,AR,28/02/2023,18.4
Zip,72142,AR,28/02/2023,13.1
Zip,72143,AR,28/02/2023,15.7
Zip,72150,AR,28/02/2023,15.2
Zip,72152,AR,28/02/2023,17.2
Zip,72165,AR,28/02/2023,20.7
Zip,72167,AR,28/02/2023,2
Zip,72168,AR,28/02/2023,10.7
Zip,72173,AR,28/02/2023,10.6
Zip,72175,AR,28/02/2023,12.7
Zip,72176,AR,28/02/2023,9.4
Zip,72181,AR,28/02/2023,10.7
Zip,72201,AR,28/02/2023,7.4
Zip,72202,AR,28/02/2023,13
Zip,72204,AR,28/02/2023,11.6
Zip,72205,AR,28/02/2023,12.9
Zip,72206,AR,28/02/2023,14
Zip,72207,AR,28/02/2023,12.8
Zip,72209,AR,28/02/2023,12.2
Zip,72210,AR,28/02/2023,12.8
Zip,72211,AR,28/02/2023,13
Zip,72212,AR,28/02/2023,12.8
Zip,72223,AR,28/02/2023,13.5
Zip,72227,AR,28/02/2023,12.9
Zip,72301,AR,28/02/2023,13.7
Zip,72315,AR,28/02/2023,8.6
Zip,72325,AR,28/02/2023,10.2
Zip,72326,AR,28/02/2023,12.6
Zip,72327,AR,28/02/2023,13.6
Zip,72328,AR,28/02/2023,-0.3
Zip,72331,AR,28/02/2023,12.4
Zip,72332,AR,28/02/2023,11.1
Zip,72333,AR,28/02/2023,4.3
Zip,72335,AR,28/02/2023,14.9
Zip,72339,AR,28/02/2023,16.6
Zip,72340,AR,28/02/2023,18.9
Zip,72342,AR,28/02/2023,9.8
Zip,72346,AR,28/02/2023,14.2
Zip,72348,AR,28/02/2023,13.7
Zip,72350,AR,28/02/2023,5.1
Zip,72351,AR,28/02/2023,8.8
Zip,72354,AR,28/02/2023,16.2
Zip,72355,AR,28/02/2023,4.6
Zip,72358,AR,28/02/2023,5.1
Zip,72359,AR,28/02/2023,9.8
